"Date","Visitor","Home","Pitcher.V","Pitcher.H","Score.V","Score.H"
2017-09-10,"SFO","CWS","MBUMGARNER-L","CFULMER-R","1","8"
2017-09-11,"PIT","MIL","SBRAULT-L","BWOODRUFF-R","7","0"
2017-09-11,"COL","ARI","KFREELAND-L","ZGREINKE-R","5","4"
2017-09-11,"LOS","SFO","KMAEDA-R","CSTRATTON-R","6","8"
2017-09-11,"BAL","TOR","UJIMENEZ-R","MESTRADA-R","3","4"
2017-09-11,"NYY","TAM","CSABATHIA-L","JODORIZZI-R","5","1"
2017-09-11,"DET","CLE","MJAYE-R","CCARRASCO-R","0","11"
2017-09-11,"SEA","TEX","AMIRANDA-L","CHAMELS-L","3","5"
2017-09-11,"CWS","KAN","RLOPEZ-R","JHAMMEL-R","11","3"
2017-09-12,"ATL","WAS","JTEHERAN-R","GGONZALEZ-L","8","0"
2017-09-12,"MIA","PHI","DPETERS-L","NPIVETTA-R","8","9"
2017-09-12,"PIT","MIL","GCOLE-R","BSUTER-L","2","5"
2017-09-12,"NYM","CUB","RGSELLMAN-R","JQUINTANA-L","3","8"
2017-09-12,"CIN","STL","RSTEPHENSON-R","LLYNN-R","4","13"
2017-09-12,"COL","ARI","JGRAY-R","TWALKER-R","4","2"
2017-09-12,"LOS","SFO","CKERSHAW-L","JCUETO-R","5","3"
2017-09-12,"BAL","TOR","DBUNDY-R","JBIAGINI-R","2","3"
2017-09-12,"NYY","TAM","SGRAY-R","BSNELL-L","1","2"
2017-09-12,"OAK","BOS","SMANAEA-L","ERODRIGUEZ-L","1","11"
2017-09-12,"DET","CLE","MBOYD-L","CKLUBER-R","0","2"
2017-09-12,"SEA","TEX","MGONZALES-L","MGONZALEZ-R","10","3"
2017-09-12,"CWS","KAN","DCOVEY-R","SGAVIGLIO-R","3","4"
2017-09-12,"HOU","LAA","JVERLANDER-R","GRICHARDS-R","1","0"
2017-09-12,"SDG","MIN","TWOOD-L","KGIBSON-R","0","16"
2017-09-13,"ATL","WAS","LGOHARA-L","MSCHERZER-R","8","2"
2017-09-13,"MIA","PHI","DSTRAILY-R","ANOLA-R","1","8"
2017-09-13,"NYM","CUB","MHARVEY-R","JLESTER-L","5","17"
2017-09-13,"PIT","MIL","TGLASNOW-R","CANDERSON-R","2","8"
2017-09-13,"CIN","STL","TMAHLE-R","JFLAHERTY-R","6","0"
2017-09-13,"COL","ARI","GMARQUEZ-R","PCORBIN-L","2","8"
2017-09-13,"LOS","SFO","YDARVISH-R","MMOORE-L","4","1"
2017-09-13,"DET","CLE","BFARMER-R","MCLEVINGER-R","3","5"
2017-09-13,"CWS","KAN","LGIOLITO-R","ESKOGLUND-L","5","3"
2017-09-13,"BAL","TOR","KGAUSMAN-R","MSTROMAN-R","2","1"
2017-09-13,"NYY","TAM","JGARCIA-L","CARCHER-R","3","2"
2017-09-13,"OAK","BOS","JCOTTON-R","DFISTER-R","7","3"
2017-09-13,"SEA","TEX","MLEAKE-R","MPEREZ-L","8","1"
2017-09-13,"HOU","LAA","MFIERS-R","TSKAGGS-L","1","9"
2017-09-13,"SDG","MIN","DLAMET-R","ESANTANA-R","1","3"
2017-09-14,"CIN","STL","AGARRETT-L","LWEAVER-R","2","5"
2017-09-14,"COL","ARI","CBETTIS-R","ZGODLEY-R","0","7"
2017-09-14,"ATL","WAS","MFOLTYNEWICZ-R","TROARK-R","2","5"
2017-09-14,"MIA","PHI","VWORLEY-R","JTHOMPSON-R","0","10"
2017-09-14,"NYM","CUB","SLUGO-R","JTSENG-R","6","14"
2017-09-14,"CWS","DET","JSHIELDS-R","CBELL-L","17","7"
2017-09-14,"OAK","BOS","DGOSSETT-R","DPOMERANZ-L","2","6"
2017-09-14,"BAL","NYY","WMILEY-L","MTANAKA-R","5","13"
2017-09-14,"KAN","CLE","JJUNIS-R","JTOMLIN-R","2","3"
2017-09-14,"SEA","TEX","FHERNANDEZ-R","ACASHNER-R","10","4"
2017-09-14,"TOR","MIN","BANDERSON-L","JBERRIOS-R","2","3"
2017-09-14,"HOU","LAA","BPEACOCK-R","RNOLASCO-R","5","2"
2017-09-15,"STL","CUB","CMARTINEZ-R","JLACKEY-R","2","8"
2017-09-15,"LOS","WAS","AWOOD-L","EJACKSON-R","7","0"
2017-09-15,"PIT","CIN","CKUHL-R","HBAILEY-R","2","4"
2017-09-15,"MIL","MIA","JJEFFRESS-R","JURENA-R","10","2"
2017-09-15,"NYM","ATL","RMONTERO-R","SNEWCOMB-L","2","3"
2017-09-15,"SDG","COL","CRICHARD-L","TCHATWOOD-R","1","6"
2017-09-15,"ARI","SFO","RRAY-L","JSAMARDZIJA-R","3","2"
2017-09-15,"BAL","NYY","GYNOA-R","LSEVERINO-R","2","8"
2017-09-15,"BOS","TAM","CSALE-L","MANDRIESE-R","13","6"
2017-09-15,"CWS","DET","CFULMER-R","ASANCHEZ-R","2","3"
2017-09-15,"KAN","CLE","JVARGAS-L","TBAUER-R","4","3"
2017-09-15,"SEA","HOU","JPAXTON-L","CMORTON-R","2","5"
2017-09-15,"TOR","MIN","JHAPP-L","BCOLON-R","4","3"
2017-09-15,"TEX","LAA","NMARTINEZ-R","BNORRIS-R","6","7"
2017-09-15,"OAK","PHI","DMENGDEN-R","MLEITER-R","4","0"
2017-09-16,"LOS","WAS","RHILL-L","ACOLE-R","3","2"
2017-09-16,"STL","CUB","MWACHA-R","KHENDRICKS-R","1","4"
2017-09-16,"PIT","CIN","INOVA-R","SROMANO-R","1","2"
2017-09-16,"MIL","MIA","ZDAVIES-R","ACONLEY-L","4","7"
2017-09-16,"NYM","ATL","JDEGROM-R","RDICKEY-R","7","3"
2017-09-16,"SDG","COL","JLYLES-R","TANDERSON-L","0","16"
2017-09-16,"ARI","SFO","ZGREINKE-R","MBUMGARNER-L","2","0"
2017-09-16,"BAL","NYY","JHELLICKSON-R","JMONTGOMERY-L","3","9"
2017-09-16,"KAN","CLE","JHAMMEL-R","CCARRASCO-R","4","8"
2017-09-16,"BOS","TAM","RPORCELLO-R","ACOBB-R","3","1"
2017-09-16,"CWS","DET","RLOPEZ-R","MJAYE-R","10","4"
2017-09-16,"TOR","MIN","MESTRADA-R","AMEJIA-L","7","2"
2017-09-16,"SEA","HOU","ERAMIREZ-R","DKEUCHEL-L","6","8"
2017-09-16,"TEX","LAA","CHAMELS-L","PBRIDWELL-R","0","2"
2017-09-16,"OAK","PHI","KGRAVEMAN-R","BLIVELY-R","3","5"
2017-09-17,"MIL","MIA","BWOODRUFF-R","DPETERS-L","10","3"
2017-09-17,"PIT","CIN","GCOLE-R","RSTEPHENSON-R","2","5"
2017-09-17,"LOS","WAS","HRYU-L","SSTRASBURG-R","1","7"
2017-09-17,"NYM","ATL","RGSELLMAN-R","JTEHERAN-R","5","1"
2017-09-17,"SDG","COL","JCHACIN-R","JGRAY-R","4","3"
2017-09-17,"ARI","SFO","TWALKER-R","CSTRATTON-R","2","7"
2017-09-17,"STL","CUB","LLYNN-R","JQUINTANA-L","3","4"
2017-09-17,"BAL","NYY","UJIMENEZ-R","SGRAY-R","6","4"
2017-09-17,"BOS","TAM","ERODRIGUEZ-L","JODORIZZI-R","2","3"
2017-09-17,"CWS","DET","DCOVEY-R","MBOYD-L","0","12"
2017-09-17,"KAN","CLE","DDUFFY-L","CKLUBER-R","2","3"
2017-09-17,"SEA","HOU","AMOORE-R","JVERLANDER-R","1","7"
2017-09-17,"TOR","MIN","JBIAGINI-R","KGIBSON-R","7","13"
2017-09-17,"TEX","LAA","MGONZALEZ-R","GRICHARDS-R","4","2"
2017-09-17,"OAK","PHI","SMANAEA-L","HALVAREZ-R","6","3"
2017-09-18,"LOS","PHI","CKERSHAW-L","NPIVETTA-R","3","4"
2017-09-18,"MIL","PIT","BSUTER-L","JTAILLON-R","3","0"
2017-09-18,"NYM","MIA","MHARVEY-R","DSTRAILY-R","1","13"
2017-09-18,"ARI","SDG","PCORBIN-L","LPERDOMO-R","2","4"
2017-09-18,"BOS","BAL","DFISTER-R","DBUNDY-R","10","8"
2017-09-18,"MIN","NYY","ESANTANA-R","JGARCIA-L","1","2"
2017-09-18,"OAK","DET","RALCANTARA-R","BFARMER-R","8","3"
2017-09-19,"LOS","PHI","YDARVISH-R","ANOLA-R","2","6"
2017-09-19,"MIL","PIT","CANDERSON-R","TWILLIAMS-R","1","0"
2017-09-19,"NYM","MIA","SLUGO-R","ODESPAIGNE-R","4","5"
2017-09-19,"STL","CIN","JFLAHERTY-R","JSTEPHENS-R","8","7"
2017-09-19,"WAS","ATL","MSCHERZER-R","LGOHARA-L","4","2"
2017-09-19,"ARI","SDG","ZGODLEY-R","TWOOD-L","2","6"
2017-09-19,"COL","SFO","GMARQUEZ-R","JCUETO-R","3","4"
2017-09-19,"MIN","NYY","JBERRIOS-R","CSABATHIA-L","2","5"
2017-09-19,"BOS","BAL","DPOMERANZ-L","KGAUSMAN-R","1","0"
2017-09-19,"KAN","TOR","IKENNEDY-R","MSTROMAN-R","2","5"
2017-09-19,"OAK","DET","DGOSSETT-R","CBELL-L","9","8"
2017-09-19,"CWS","HOU","LGIOLITO-R","CMCHUGH-R","1","3"
2017-09-19,"CLE","LAA","MCLEVINGER-R","TSKAGGS-L","6","3"
2017-09-19,"TEX","SEA","MPEREZ-L","MLEAKE-R","3","1"
2017-09-19,"CUB","TAM","MMONTGOMERY-L","CARCHER-R","2","1"
2017-09-20,"NYM","MIA","RMONTERO-R","JURENA-R","2","9"
2017-09-20,"COL","SFO","TCHATWOOD-R","MMOORE-L","0","4"
2017-09-20,"LOS","PHI","AWOOD-L","JTHOMPSON-R","5","7"
2017-09-20,"MIL","PIT","AWILKERSON-R","SBRAULT-L","4","6"
2017-09-20,"STL","CIN","LWEAVER-R","RDAVIS-R","9","2"
2017-09-20,"WAS","ATL","GGONZALEZ-L","LSIMS-R","7","3"
2017-09-20,"ARI","SDG","RRAY-L","DLAMET-R","13","7"
2017-09-20,"MIN","NYY","BCOLON-R","LSEVERINO-R","3","11"
2017-09-20,"OAK","DET","DMENGDEN-R","ASANCHEZ-R","3","2"
2017-09-20,"BOS","BAL","CSALE-L","WMILEY-L","9","0"
2017-09-20,"KAN","TOR","JJUNIS-R","BANDERSON-L","15","5"
2017-09-20,"CWS","HOU","JSHIELDS-R","BPEACOCK-R","3","4"
2017-09-20,"CLE","LAA","JTOMLIN-R","RNOLASCO-R","6","5"
2017-09-20,"TEX","SEA","ACASHNER-R","FHERNANDEZ-R","8","6"
2017-09-20,"CUB","TAM","JLESTER-L","BSNELL-L","1","8"
2017-09-21,"LOS","PHI","KMAEDA-R","MLEITER-R","5","4"
2017-09-21,"STL","CIN","CMARTINEZ-R","HBAILEY-R","8","5"
2017-09-21,"WAS","ATL","TROARK-R","RDICKEY-R","2","3"
2017-09-21,"CUB","MIL","JARRIETA-R","ZDAVIES-R","5","3"
2017-09-21,"COL","SDG","TANDERSON-L","CRICHARD-L","0","3"
2017-09-21,"TAM","BAL","MANDRIESE-R","GYNOA-R","1","3"
2017-09-21,"KAN","TOR","JVARGAS-L","JHAPP-L","1","0"
2017-09-21,"MIN","DET","AMEJIA-L","JZIMMERMANN-R","12","1"
2017-09-21,"CWS","HOU","CFULMER-R","DKEUCHEL-L","3","1"
2017-09-21,"CLE","LAA","DSALAZAR-R","PBRIDWELL-R","4","1"
2017-09-21,"TEX","SEA","CHAMELS-L","JPAXTON-L","4","2"
2017-09-22,"STL","PIT","MWACHA-R","INOVA-R","4","3"
2017-09-22,"WAS","NYM","EJACKSON-R","RGSELLMAN-R","6","7"
2017-09-22,"PHI","ATL","BLIVELY-R","SNEWCOMB-L","2","7"
2017-09-22,"CUB","MIL","JLACKEY-R","BWOODRUFF-R","5","4"
2017-09-22,"MIA","ARI","ACONLEY-L","ZGREINKE-R","11","13"
2017-09-22,"COL","SDG","JGRAY-R","JLYLES-R","4","1"
2017-09-22,"SFO","LOS","JSAMARDZIJA-R","RHILL-L","2","4"
2017-09-22,"TAM","BAL","ACOBB-R","UJIMENEZ-R","8","3"
2017-09-22,"NYY","TOR","MTANAKA-R","MESTRADA-R","1","8"
2017-09-22,"MIN","DET","KGIBSON-R","DNORRIS-L","7","3"
2017-09-22,"LAA","HOU","GRICHARDS-R","JVERLANDER-R","0","3"
2017-09-22,"KAN","CWS","JHAMMEL-R","RLOPEZ-R","6","7"
2017-09-22,"TEX","OAK","NMARTINEZ-R","KGRAVEMAN-R","1","4"
2017-09-22,"CLE","SEA","TBAUER-R","ERAMIREZ-R","1","3"
2017-09-22,"BOS","CIN","RPORCELLO-R","SROMANO-R","5","4"
2017-09-23,"STL","PIT","LLYNN-R","GCOLE-R","6","11"
2017-09-23,"PHI","ATL","HALVAREZ-R","JTEHERAN-R","2","4"
2017-09-23,"WAS","NYM","SSTRASBURG-R","NSYNDERGAARD-R","4","3"
2017-09-23,"CUB","MIL","KHENDRICKS-R","BSUTER-L","3","4"
2017-09-23,"MIA","ARI","DPETERS-L","TWALKER-R","12","6"
2017-09-23,"COL","SDG","CBETTIS-R","JCHACIN-R","0","5"
2017-09-23,"SFO","LOS","MBUMGARNER-L","HRYU-L","2","1"
2017-09-23,"NYY","TOR","SGRAY-R","JBIAGINI-R","5","1"
2017-09-23,"CLE","SEA","CCARRASCO-R","AMOORE-R","11","4"
2017-09-23,"TAM","BAL","JODORIZZI-R","JHELLICKSON-R","9","6"
2017-09-23,"MIN","DET","ESANTANA-R","MBOYD-L","10","4"
2017-09-23,"KAN","CWS","DDUFFY-L","DCOVEY-R","8","2"
2017-09-23,"LAA","HOU","BNORRIS-R","CMORTON-R","2","6"
2017-09-23,"TEX","OAK","MGONZALEZ-R","RALCANTARA-R","0","1"
2017-09-23,"BOS","CIN","ERODRIGUEZ-L","RSTEPHENSON-R","5","0"
2017-09-24,"WAS","NYM","MSCHERZER-R","JDEGROM-R","3","2"
2017-09-24,"PHI","ATL","NPIVETTA-R","LGOHARA-L","2","0"
2017-09-24,"STL","PIT","JGANT-R","JTAILLON-R","1","4"
2017-09-24,"CUB","MIL","JQUINTANA-L","CANDERSON-R","5","0"
2017-09-24,"SFO","LOS","CSTRATTON-R","CKERSHAW-L","1","3"
2017-09-24,"MIA","ARI","DSTRAILY-R","PCORBIN-L","2","3"
2017-09-24,"COL","SDG","GMARQUEZ-R","LPERDOMO-R","8","4"
2017-09-24,"NYY","TOR","JGARCIA-L","MSTROMAN-R","5","9"
2017-09-24,"MIN","DET","JBERRIOS-R","BFARMER-R","10","4"
2017-09-24,"TAM","BAL","CARCHER-R","CTILLMAN-R","4","9"
2017-09-24,"LAA","HOU","TSKAGGS-L","LMCCULLERS-R","7","5"
2017-09-24,"KAN","CWS","IKENNEDY-R","LGIOLITO-R","1","8"
2017-09-24,"TEX","OAK","MPEREZ-L","JCOTTON-R","1","8"
2017-09-24,"CLE","SEA","CKLUBER-R","MLEAKE-R","4","2"
2017-09-24,"BOS","CIN","DFISTER-R","JSTEPHENS-R","5","4"
2017-09-25,"ATL","NYM","LSIMS-R","CFLEXEN-R","9","2"
2017-09-25,"WAS","PHI","ACOLE-R","ANOLA-R","3","1"
2017-09-25,"ATL","NYM","MFRIED-L","SLUGO-R","2","3"
2017-09-25,"CUB","STL","JLESTER-L","LWEAVER-R","10","2"
2017-09-25,"MIA","COL","ODESPAIGNE-R","TCHATWOOD-R","5","4"
2017-09-25,"SFO","ARI","JCUETO-R","ZGODLEY-R","9","2"
2017-09-25,"SDG","LOS","TWOOD-L","YDARVISH-R","3","9"
2017-09-25,"KAN","NYY","JJUNIS-R","CSABATHIA-L","3","11"
2017-09-25,"TOR","BOS","BANDERSON-L","DPOMERANZ-L","6","4"
2017-09-25,"HOU","TEX","CMCHUGH-R","ACASHNER-R","11","2"
2017-09-25,"LAA","CWS","RNOLASCO-R","JSHIELDS-R","2","4"
2017-09-25,"SEA","OAK","FHERNANDEZ-R","DGOSSETT-R","7","1"
2017-09-26,"WAS","PHI","GGONZALEZ-L","JTHOMPSON-R","1","4"
2017-09-26,"ATL","NYM","RDICKEY-R","RMONTERO-R","3","4"
2017-09-26,"CIN","MIL","DMCGUIRE-R","ZDAVIES-R","6","7"
2017-09-26,"CUB","STL","JARRIETA-R","CMARTINEZ-R","7","8"
2017-09-26,"MIA","COL","JURENA-R","TANDERSON-L","0","6"
2017-09-26,"SFO","ARI","MMOORE-L","RRAY-L","4","11"
2017-09-26,"SDG","LOS","DLAMET-R","AWOOD-L","2","9"
2017-09-26,"TAM","NYY","BSNELL-L","JMONTGOMERY-L","1","6"
2017-09-26,"MIN","CLE","BCOLON-R","JTOMLIN-R","8","6"
2017-09-26,"TOR","BOS","JHAPP-L","CSALE-L","9","4"
2017-09-26,"HOU","TEX","DKEUCHEL-L","CHAMELS-L","14","3"
2017-09-26,"LAA","CWS","PBRIDWELL-R","CVOLSTAD-R","9","3"
2017-09-26,"DET","KAN","ASANCHEZ-R","JVARGAS-L","1","2"
2017-09-26,"SEA","OAK","JPAXTON-L","DMENGDEN-R","6","3"
2017-09-26,"BAL","PIT","KGAUSMAN-R","TWILLIAMS-R","1","10"
2017-09-27,"MIA","COL","ACONLEY-L","JGRAY-R","9","15"
2017-09-27,"SFO","ARI","JSAMARDZIJA-R","BSHIPLEY-R","3","4"
2017-09-27,"WAS","PHI","TROARK-R","MLEITER-R","5","7"
2017-09-27,"ATL","NYM","SNEWCOMB-L","RGSELLMAN-R","1","7"
2017-09-27,"CIN","MIL","HBAILEY-R","BWOODRUFF-R","6","0"
2017-09-27,"CUB","STL","JLACKEY-R","MWACHA-R","5","1"
2017-09-27,"SDG","LOS","CRICHARD-L","RHILL-L","0","10"
2017-09-27,"HOU","TEX","JVERLANDER-R","NMARTINEZ-R","12","2"
2017-09-27,"SEA","OAK","ERAMIREZ-R","KGRAVEMAN-R","5","6"
2017-09-27,"TAM","NYY","MANDRIESE-R","LSEVERINO-R","1","6"
2017-09-27,"MIN","CLE","AMEJIA-L","DSALAZAR-R","2","4"
2017-09-27,"TOR","BOS","MESTRADA-R","RPORCELLO-R","7","10"
2017-09-27,"LAA","CWS","GRICHARDS-R","RLOPEZ-R","4","6"
2017-09-27,"DET","KAN","JZIMMERMANN-R","JHAMMEL-R","4","7"
2017-09-27,"BAL","PIT","GYNOA-R","CKUHL-R","3","5"
2017-09-28,"CIN","MIL","SROMANO-R","BSUTER-L","3","4"
2017-09-28,"PIT","WAS","INOVA-R","EJACKSON-R","4","5"
2017-09-28,"ATL","MIA","JTEHERAN-R","DPETERS-L","1","7"
2017-09-28,"CUB","STL","KHENDRICKS-R","LLYNN-R","2","1"
2017-09-28,"MIN","CLE","ESANTANA-R","CCARRASCO-R","2","5"
2017-09-28,"TAM","NYY","JFARIA-R","SGRAY-R","9","6"
2017-09-28,"HOU","BOS","BPEACOCK-R","ERODRIGUEZ-L","12","2"
2017-09-28,"OAK","TEX","SMANAEA-L","MGONZALEZ-R","4","1"
2017-09-28,"LAA","CWS","BNORRIS-R","DCOVEY-R","4","5"
2017-09-28,"DET","KAN","DNORRIS-L","DDUFFY-L","4","1"
2017-09-29,"CIN","CUB","RSTEPHENSON-R","JQUINTANA-L","4","5"
2017-09-29,"PIT","WAS","GCOLE-R","SSTRASBURG-R","1","6"
2017-09-29,"NYM","PHI","MHARVEY-R","BLIVELY-R","2","6"
2017-09-29,"ATL","MIA","LGOHARA-L","DSTRAILY-R","5","6"
2017-09-29,"LOS","COL","HRYU-L","CBETTIS-R","1","9"
2017-09-29,"MIL","STL","CANDERSON-R","JGANT-R","5","3"
2017-09-29,"SDG","SFO","JLYLES-R","CSTRATTON-R","0","8"
2017-09-29,"TOR","NYY","JBIAGINI-R","MTANAKA-R","0","4"
2017-09-29,"BAL","TAM","WMILEY-L","JODORIZZI-R","0","7"
2017-09-29,"CWS","CLE","MPELFREY-R","TBAUER-R","1","10"
2017-09-29,"HOU","BOS","CMORTON-R","DFISTER-R","3","2"
2017-09-29,"OAK","TEX","RALCANTARA-R","MPEREZ-L","3","5"
2017-09-29,"DET","MIN","MBOYD-L","KGIBSON-R","3","6"
2017-09-29,"SEA","LAA","MGONZALES-L","TSKAGGS-L","5","6"
2017-09-29,"ARI","KAN","ZGREINKE-R","IKENNEDY-R","1","2"
2017-09-30,"CIN","CUB","JSTEPHENS-R","JLESTER-L","0","9"
2017-09-30,"SDG","SFO","JCHACIN-R","MCAIN-R","3","2"
2017-09-30,"MIL","STL","JGUERRA-R","LWEAVER-R","6","7"
2017-09-30,"PIT","WAS","JTAILLON-R","MSCHERZER-R","4","1"
2017-09-30,"NYM","PHI","SLUGO-R","HALVAREZ-R","7","4"
2017-09-30,"ATL","MIA","LSIMS-R","ODESPAIGNE-R","2","10"
2017-09-30,"LOS","COL","CKERSHAW-L","GMARQUEZ-R","5","3"
2017-09-30,"TOR","NYY","MSTROMAN-R","CSABATHIA-L","1","2"
2017-09-30,"BAL","TAM","MCASTRO-R","CARCHER-R","3","4"
2017-09-30,"HOU","BOS","LMCCULLERS-R","DPOMERANZ-L","3","6"
2017-09-30,"CWS","CLE","CFULMER-R","CKLUBER-R","2","1"
2017-09-30,"DET","MIN","BFARMER-R","ASLEGERS-R","3","2"
2017-09-30,"OAK","TEX","DGOSSETT-R","ACASHNER-R","4","8"
2017-09-30,"SEA","LAA","AALBERS-L","RNOLASCO-R","6","4"
2017-09-30,"ARI","KAN","TWALKER-R","JJUNIS-R","3","4"
2017-10-01,"PIT","WAS","SBRAULT-L","GGONZALEZ-L","11","8"
2017-10-01,"NYM","PHI","NSYNDERGAARD-R","NPIVETTA-R","0","11"
2017-10-01,"SDG","SFO","LPERDOMO-R","JCUETO-R","4","5"
2017-10-01,"ATL","MIA","MFRIED-L","JURENA-R","8","5"
2017-10-01,"LOS","COL","RSTRIPLING-R","KFREELAND-L","6","3"
2017-10-01,"MIL","STL","AWILKERSON-R","JFLAHERTY-R","6","1"
2017-10-01,"CIN","CUB","DMCGUIRE-R","MMONTGOMERY-L","3","1"
2017-10-01,"HOU","BOS","CMCHUGH-R","HVELAZQUEZ-R","4","3"
2017-10-01,"OAK","TEX","DMENGDEN-R","CHAMELS-L","5","2"
2017-10-01,"TOR","NYY","BANDERSON-L","JMONTGOMERY-L","2","1"
2017-10-01,"SEA","LAA","JPAXTON-L","PBRIDWELL-R","2","6"
2017-10-01,"DET","MIN","ASANCHEZ-R","BCOLON-R","1","5"
2017-10-01,"BAL","TAM","KGAUSMAN-R","BSNELL-L","0","6"
2017-10-01,"CWS","CLE","CVOLSTAD-R","JTOMLIN-R","1","3"
2017-10-01,"ARI","KAN","RRAY-L","JVARGAS-L","14","2"
